method_id,evidence_role,fold_id,condition,score_sha256,heldout_pair_micro_f1,overall_pair_micro_f1,seen_pair_micro_f1,heldout_pair_precision,heldout_pair_recall,heldout_presence_f1,heldout_presence_ap,oracle_gated_sentiment_set_micro_f1,maximum_sentiments_per_selected_aspect,aspect_call_rate,selected_aspect_instances,test_contract_count
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,review_cross_fitted_primary,l2-a01,D,b4db642a9d33596db64edaddf04a601a3dddfc341d78e9bbe628020e338e73db,0.5121951219512195,0.5962473940236275,0.6013264554163597,0.38181818181818183,0.7777777777777778,0.5560165975103735,0.3995261890267369,0.926829268292683,2,0.1911857458215074,2425,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,review_cross_fitted_primary,l2-a01,N,3692e30c0439b4e281ee393a0d97f0060c88143ea10d5e342cbda1fac7f10a93,0.5181818181818182,0.5970636215334421,0.6013264554163597,0.41007194244604317,0.7037037037037037,0.5388127853881278,0.37925915479088235,0.9629629629629629,2,0.18945127719962157,2403,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,all_validation_fitted_diagnostic,l2-a01,D,b4db642a9d33596db64edaddf04a601a3dddfc341d78e9bbe628020e338e73db,0.5121951219512195,0.5962473940236275,0.6013264554163597,0.38181818181818183,0.7777777777777778,0.5560165975103735,0.3995261890267369,0.926829268292683,2,0.1911857458215074,2425,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,all_validation_fitted_diagnostic,l2-a01,N,3692e30c0439b4e281ee393a0d97f0060c88143ea10d5e342cbda1fac7f10a93,0.5181818181818182,0.5970636215334421,0.6013264554163597,0.41007194244604317,0.7037037037037037,0.5388127853881278,0.37925915479088235,0.9629629629629629,2,0.18945127719962157,2403,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a01,D,6a4eca86515a601cae6b4d7fb7606e02f13dc28058bb5df47fb5e0d4ad310648,0.6210526315789474,0.6110828673106253,0.6105769230769231,0.5412844036697247,0.7283950617283951,0.6702127659574468,0.5273322971024234,0.926829268292683,2,0.16169977924944812,2051,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a01,N,e00816f2035d112914888a6fb1da06aa9e3ad3fca3e1ba4f7ef452a7f21a378d,0.5654450261780105,0.6083862770012707,0.6105769230769231,0.4909090909090909,0.6666666666666666,0.5925925925925926,0.4563880216890792,0.9629629629629629,2,0.16177861873226113,2052,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,review_cross_fitted_primary,l2-a02,D,1cc69914be4b1347dc0ee9cc07bbd338a04883c39a35fb9f56e0e48d8a6479a7,0.3253012048192771,0.5968045112781954,0.6078239608801956,0.3375,0.313953488372093,0.42168674698795183,0.2993833475575574,0.8670520231213873,2,0.18866288237149165,2393,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,review_cross_fitted_primary,l2-a02,N,b48feeb75fa48072d9599879588de693767b7058917c1f082f71b4d44662effb,0.125,0.5967510750119446,0.6078239608801956,0.6,0.06976744186046512,0.14583333333333334,0.34261459919324505,0.8439306358381503,2,0.18314411857458215,2323,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,all_validation_fitted_diagnostic,l2-a02,D,1cc69914be4b1347dc0ee9cc07bbd338a04883c39a35fb9f56e0e48d8a6479a7,0.3253012048192771,0.5968045112781954,0.6078239608801956,0.3375,0.313953488372093,0.42168674698795183,0.2993833475575574,0.8670520231213873,2,0.18866288237149165,2393,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,all_validation_fitted_diagnostic,l2-a02,N,b48feeb75fa48072d9599879588de693767b7058917c1f082f71b4d44662effb,0.125,0.5967510750119446,0.6078239608801956,0.6,0.06976744186046512,0.14583333333333334,0.34261459919324505,0.8439306358381503,2,0.18314411857458215,2323,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a02,D,c44ab2560c1ced4eedb4b9eebb484829a635f7f38acc98457b7d1ad0c5ee146b,0.3333333333333333,0.6061845131612573,0.6225955025738282,0.27205882352941174,0.43023255813953487,0.41818181818181815,0.2777638687164848,0.8670520231213873,2,0.16169977924944812,2051,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a02,N,12dbffea99a12b5b24093f1c45cca1469ad34c4eeea089e84b043c1a92128b98,0.08333333333333333,0.6089252706627938,0.6225955025738282,0.4,0.046511627906976744,0.125,0.386971975673154,0.8439306358381503,2,0.15192368338063703,1927,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,review_cross_fitted_primary,l2-a03,D,87a4a464b022b8618a0814fb7e212b88d96ee2402b046cc594614e57a95047ca,0.5334821428571429,0.5945057525240667,0.6107641986321737,0.48282828282828283,0.5960099750623441,0.5803571428571429,0.5043606425847772,0.885286783042394,1,0.18929359823399558,2401,0
e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,review_cross_fitted_primary,l2-a03,N,cf2366fee4b228906fc6a354bec9ceafdce6fbc8ccb9287566b8bdddf5876326,0.48700410396716826,0.5886663409868099,0.6107641986321737,0.5393939393939394,0.44389027431421446,0.533515731874145,0.5430493647006446,0.8653366583541147,1,0.17628508356985179,2236,0
