fold_id,policy,task,examples,unique_reviews,replaced_instances_vs_filtered,sha256
l2-a01,review_filtered,aspect_presence,2048,1824,0,24f41d67e13551e7e78c3c0b33905f7ad20a6496fc6389687d5686bcd877c43a
l2-a01,review_filtered,sentiment,2048,1887,0,51ddf583b84412e4fa6b1083d23f25d07806b40766b47df8dc0f3959b0d536a6
l2-a01,label_masked_all_reviews,aspect_presence,2048,1834,111,d19d98d06cbd17cde07d5db27e1bc516e05ed1b4f10efa80d9e203a0759b8776
l2-a01,label_masked_all_reviews,sentiment,2048,1900,106,334b8344b9e9d5aa51cbb7c7a74b18ee27422498a9681b8816826e60b761ec09
l2-a02,review_filtered,aspect_presence,2048,1812,0,dafedd16f5b2b0bd682296c9a101b7eae345dd331f3457cbded08717ce670e17
l2-a02,review_filtered,sentiment,2048,1915,0,effe19b225d648f656929893a3d8c363cd38438033cfdeedba512a77b80d148e
l2-a02,label_masked_all_reviews,aspect_presence,2048,1833,156,e8f7a9ee131ba42b906191af637c67b3dae5b7a9efc2266e354ebf1ef90426bc
l2-a02,label_masked_all_reviews,sentiment,2048,1923,134,5d67242467b92eb7c31f6d842b071ccda6638f00f304426d4620f629c9ed1c27
l2-a03,review_filtered,aspect_presence,2048,1730,0,9d719eb8e5dc0bea985cf5d92f22cf6851cf9d8abbcbe7a31ef3c77f540a8b06
l2-a03,review_filtered,sentiment,2048,1870,0,b8cb20bdc8a4ac2b4817b0b9de6e64764bded6b62c985c54af351068a1b551fa
l2-a03,label_masked_all_reviews,aspect_presence,2048,1833,663,5436b8ccfbc9f11a30ffd686a05d1966b608793e8a2cb6a8ec49829093bf24de
l2-a03,label_masked_all_reviews,sentiment,2048,1899,393,dc691d4c2232ab865c584d0aa83d074faf06c8e404ca61905a1f00136f9cf9ca
l2-a04,review_filtered,aspect_presence,2048,1838,0,5494a8d83b6a6ed30c65a099f3ba14bf173cb30916332f461a3c7b2e0ab06e05
l2-a04,review_filtered,sentiment,2048,1919,0,0c92af7a9d2307c373320cf9e6e6376b1099192efddd8886ea037a15514e585c
l2-a04,label_masked_all_reviews,aspect_presence,2048,1845,45,1a3deb44fdcba81139a4aaa0d0f8f5ecb60bebdb5c1ff42310c599278e588058
l2-a04,label_masked_all_reviews,sentiment,2048,1917,42,70102ec2dd14c252539635bbd64a6c1f0f89d1ff25058b652748228247893078
l2-a05,review_filtered,aspect_presence,2048,1799,0,a0a6a3a9eb8cc72e94988505cfca8b39ad3bc72c5052a0c56b97826a6cefa618
l2-a05,review_filtered,sentiment,2048,1902,0,867fb405ec07a496f9d363058600334f3845ec11f697618987e2c8f689b37c7a
l2-a05,label_masked_all_reviews,aspect_presence,2048,1837,249,e1830e7642d1eb25cb46e3e56dc1f1dc40965168aff8de5a068a9930d7a11278
l2-a05,label_masked_all_reviews,sentiment,2048,1926,184,e7bd96cd03b6779cbc284d5d1bbdf0aa78bfa2ecb80ede768f5640038dfe9aae
l2-a06,review_filtered,aspect_presence,2048,1681,0,402f6693503c4160f253847633a062def4460281bb2d90dc4cdbabcbdd799509
l2-a06,review_filtered,sentiment,2048,1735,0,df4858c493c5ecb4d8cf51a605c0af5ce8eca3b4faa81ec007069f89f8b886fb
l2-a06,label_masked_all_reviews,aspect_presence,2048,1824,817,d438eb7dd9c42d6c9a2d2870a335de8c17792ae943ab69ecae10a1e0db91f2aa
l2-a06,label_masked_all_reviews,sentiment,2048,1840,698,02141067c9b03faec6694f35d60ffa486a906b4ef714db16a03a6c5687a5b4f2
l2-a07,review_filtered,aspect_presence,2048,1759,0,8b3b7e2593cc2285d0db0e138c66a3e591976e69d8525e9a8fd624d6b59cbd00
l2-a07,review_filtered,sentiment,2048,1868,0,fa270e42062216b05eeee74b2acc69c646857081fcf006373ca125ab486e7b0b
l2-a07,label_masked_all_reviews,aspect_presence,2048,1844,572,05771e729a825f9bf3c86964da9966ba1924782441f87f0dc08275d294d19aeb
l2-a07,label_masked_all_reviews,sentiment,2048,1914,420,007581e4ddf6632719b8434f10c4d25885e3f67a45eb39ba3c2494728b3bcd44
l2-a08,review_filtered,aspect_presence,2048,1803,0,40a7a594d83fe9624332a4d74f34c2259db6ba76c7d3e7b0da4978f4ea53083a
l2-a08,review_filtered,sentiment,2048,1907,0,33f3844eaba2d9808b7eebaca9e6a22e9174fb4fc24a11761cd7edc059f8d5ff
l2-a08,label_masked_all_reviews,aspect_presence,2048,1837,278,fa67963f2b4c74ed635dbb1edd470eca1d4b4ef89a25da9639545cd5210085a6
l2-a08,label_masked_all_reviews,sentiment,2048,1928,240,546fb281a64aa65d0fcd2657e3ee07b8a8aea87d1542df7c50aefb59397d3d67
l2-a09,review_filtered,aspect_presence,2048,1841,0,16cb46d9de5e4f2db341c743d1cab35f135b9fa9aeceb6b3c2c43235f8784efd
l2-a09,review_filtered,sentiment,2048,1912,0,74eb1f2969dcc05c26da4c798d38aa91c6a3989a1687456b34efc4bb970e4c23
l2-a09,label_masked_all_reviews,aspect_presence,2048,1848,39,c9d47318d92886bbd4e96e689feb1c755cb553f951c41b17a56294e45a5c49e1
l2-a09,label_masked_all_reviews,sentiment,2048,1916,41,9993920247ff718b0e9bbe375bcefa1414ccd4d8d198fadd6fa59daaac830434
l2-a10,review_filtered,aspect_presence,2048,1818,0,7fd69547ef4491087a232d916957443746e5b21ceff785b59faab1dd97e55580
l2-a10,review_filtered,sentiment,2048,1916,0,82768b93379a7f70a78c1137295650ee2697a9cc5bd4d8063eacae31b2336054
l2-a10,label_masked_all_reviews,aspect_presence,2048,1826,55,96acc437cee532792786c455b9232a1d8c3d0b778df3e8506aa373f3ec7790af
l2-a10,label_masked_all_reviews,sentiment,2048,1915,53,820bca58d3f1e3966c4974d5a9771775be4a64dbeaa67aff002809730eb583e9
l2-a11,review_filtered,aspect_presence,2048,1830,0,cf6f7e0fe014b38ab89cfa7a57f0c2c3d1e007b850d51df4e465eae9491a12da
l2-a11,review_filtered,sentiment,2048,1909,0,f30ff7d15c5ee0bfc2117837a870c3d00e8d7a8559d8f41a3808d250b15ec982
l2-a11,label_masked_all_reviews,aspect_presence,2048,1834,93,f7613ef3c5544dea63841a95602440928063a9c9ba00051a180eee3c7c8207c4
l2-a11,label_masked_all_reviews,sentiment,2048,1914,48,004cd5c6dab459aded4153325524e915250b80184d99c23071ed97f96d2e4c60
l2-a12,review_filtered,aspect_presence,2048,1799,0,9e2090a0131d8c0405916ba9139ea1b5e21d6ce3348d3eb0f31669ca5032b8e7
l2-a12,review_filtered,sentiment,2048,1900,0,f51d823d2f5018c09b33a7f1d8713861d3f9903ba55de0e21467c7d4972fbb7d
l2-a12,label_masked_all_reviews,aspect_presence,2048,1825,286,040eca7125a65c7ca4618118ead4c9daaf9f6c3c65df943bd4697d552949c2ef
l2-a12,label_masked_all_reviews,sentiment,2048,1920,206,34b26aaaf9c611e072277cd6ddf9f893e30afaec12024314928450a418585af5
