fold_id,policy,stage,count,demonstrations_sha256,changed_vs_filtered
l2-a01,review_filtered,aspect,4,48fe7ad26bbe051a281a069b62eb5dce811c7abfeee9c93b8b23d640923bed9f,False
l2-a01,review_filtered,sentiment,3,3f01b8dbe60b12bcf47335c51155f9b43c9ec2d7909aab8d1afddd998e580e1b,False
l2-a01,label_masked_all_reviews,aspect,4,48fe7ad26bbe051a281a069b62eb5dce811c7abfeee9c93b8b23d640923bed9f,False
l2-a01,label_masked_all_reviews,sentiment,3,c863122beb90bbeae08565d182fe00230c4caac01669a7ba56c824294c10b9b0,True
l2-a02,review_filtered,aspect,4,48fe7ad26bbe051a281a069b62eb5dce811c7abfeee9c93b8b23d640923bed9f,False
l2-a02,review_filtered,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a02,label_masked_all_reviews,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,True
l2-a02,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a03,review_filtered,aspect,4,e8abe89930e86fde8aaca6bfdddbbda4ff499e8c73cc8ca39496f96fd2251626,False
l2-a03,review_filtered,sentiment,3,25e2ccc2385b9169ce9da0184bc496d8a787ad0b388fc8fbf1e8a38739aa5430,False
l2-a03,label_masked_all_reviews,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,True
l2-a03,label_masked_all_reviews,sentiment,3,25e2ccc2385b9169ce9da0184bc496d8a787ad0b388fc8fbf1e8a38739aa5430,False
l2-a04,review_filtered,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,False
l2-a04,review_filtered,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a04,label_masked_all_reviews,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,False
l2-a04,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a05,review_filtered,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,False
l2-a05,review_filtered,sentiment,3,25e2ccc2385b9169ce9da0184bc496d8a787ad0b388fc8fbf1e8a38739aa5430,False
l2-a05,label_masked_all_reviews,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,False
l2-a05,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,True
l2-a06,review_filtered,aspect,4,66415590da0fe9ad2cff7581f6785b0e08a5840d8b9161c1df585a5f8a37586f,False
l2-a06,review_filtered,sentiment,3,b7e31d75e30ea5aeb35be853fb718804f5ea0204ef3be7c512073e061da1a4bd,False
l2-a06,label_masked_all_reviews,aspect,4,27a016d381d8458587ea42bb5902dd5105c6f5279221fa2a1f4dfdb8b3ddc9a8,True
l2-a06,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,True
l2-a07,review_filtered,aspect,4,6be673c66410caff82e78fd23f195f1c9fc94c6ba42544eecf2d20ed50ff57be,False
l2-a07,review_filtered,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a07,label_masked_all_reviews,aspect,4,132b0b91d60d7e8efa792e719dbc00e7837f21439333e56cfd8a5a3732d08072,True
l2-a07,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a08,review_filtered,aspect,4,261215b3d709c7f90cbf74fed0814d7e5ecf28bd5d24e28e838c22ed0f02f605,False
l2-a08,review_filtered,sentiment,3,463e397a43da73dc9dc886af10e70114d03c0518b2f3a7c7f6b39581378d8109,False
l2-a08,label_masked_all_reviews,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,True
l2-a08,label_masked_all_reviews,sentiment,3,463e397a43da73dc9dc886af10e70114d03c0518b2f3a7c7f6b39581378d8109,False
l2-a09,review_filtered,aspect,4,261215b3d709c7f90cbf74fed0814d7e5ecf28bd5d24e28e838c22ed0f02f605,False
