split,metric,challenger,reference,aspects,challenger_mean,reference_mean,mean_paired_difference,median_paired_difference,bootstrap_95_ci_lower,bootstrap_95_ci_upper,exact_sign_flip_p_value_two_sided,challenger_wins,ties,challenger_losses,bootstrap_resamples,seed,holm_adjusted_p_value_within_six_comparisons
validation,pair_micro_f1,e5_base_v2,tfidf_char_3_5_train_vocab,12,0.39442618487980896,0.3942782869156877,0.00014789796412129305,0.004216667467220006,-0.10961295142227141,0.08830480399202927,0.998046875,8,0,4,100000,13,1.0
validation,pair_micro_f1,minilm_l6_v2,tfidf_char_3_5_train_vocab,12,0.36026157782355206,0.3942782869156877,-0.03401670909213563,-0.014936656418715749,-0.14894288823583066,0.0540086623357202,0.67236328125,6,0,6,100000,13,1.0
validation,pair_micro_f1,e5_base_v2,minilm_l6_v2,12,0.39442618487980896,0.36026157782355206,0.03416460705625692,0.04747544887648339,0.005579232844387588,0.05863588856482438,0.03759765625,9,0,3,100000,13,0.18798828125
validation,pair_micro_f1,tfidf_char_3_5_train_vocab,bow_count_1_2_train_vocab,12,0.3942782869156877,0.32688722026263833,0.06739106665304935,0.053657712973737046,0.0319389446696095,0.10701549051460243,0.00390625,9,2,1,100000,13,0.0234375
validation,pair_micro_f1,e5_base_v2,bow_count_1_2_train_vocab,12,0.39442618487980896,0.32688722026263833,0.06753896461717065,0.0794825478818485,-0.014530704211207153,0.13697074367359202,0.12548828125,10,0,2,100000,13,0.501953125
validation,pair_micro_f1,minilm_l6_v2,bow_count_1_2_train_vocab,12,0.36026157782355206,0.32688722026263833,0.03337435756091374,0.07051808475821218,-0.05386413740494476,0.10239545230819512,0.45849609375,8,0,4,100000,13,1.0
test,pair_micro_f1,e5_base_v2,tfidf_char_3_5_train_vocab,12,0.3790661776258785,0.36672820349357366,0.012337974132304898,0.04062655272313059,-0.07882387923686571,0.09398280125333086,0.80224609375,8,0,4,100000,13,1.0
test,pair_micro_f1,minilm_l6_v2,tfidf_char_3_5_train_vocab,12,0.3699167552470923,0.36672820349357366,0.0031885517535186875,0.03432649441824469,-0.08966254071144432,0.07810920965967623,0.9560546875,8,0,4,100000,13,1.0
test,pair_micro_f1,e5_base_v2,minilm_l6_v2,12,0.3790661776258785,0.3699167552470923,0.009149422378786215,0.026071083589707014,-0.02222403537180648,0.03759967023663788,0.583984375,7,0,5,100000,13,1.0
test,pair_micro_f1,tfidf_char_3_5_train_vocab,bow_count_1_2_train_vocab,12,0.36672820349357366,0.3224887175982793,0.04423948589529438,0.028439464623908624,0.02016276718107115,0.07103849665814593,0.00390625,9,2,1,100000,13,0.0234375
test,pair_micro_f1,e5_base_v2,bow_count_1_2_train_vocab,12,0.3790661776258785,0.3224887175982793,0.05657746002759928,0.09458519622454056,-0.03207692364528779,0.13671241198121006,0.22900390625,9,0,3,100000,13,1.0
test,pair_micro_f1,minilm_l6_v2,bow_count_1_2_train_vocab,12,0.3699167552470923,0.3224887175982793,0.04742803764881307,0.0701964676595497,-0.03847160320340751,0.11916275481000796,0.28466796875,9,0,3,100000,13,1.0
